isim,lat,lon
Mado,39.8964973,32.7045638
Lal Cafe,39.8978381,32.7057047
Sunshine,39.8898332,32.7906931
Butikek,39.9568922,32.7032936
Tribeca,39.8482152,32.8323899
Starbucks,39.8482915,32.8325788
Gloria Jean's,39.8485969,32.8334941
Mado,39.9042786,32.8090867
Starbucks,39.9009315,32.6913224
Balkon,39.8773882,32.6790524
Starbucks,39.8817842,32.6857143
Çimen Cafe & Bistro,39.8820765,32.6850031
Merkez kantin,39.935846,32.831207
Starbucks,39.9179292,32.8546868
FMD Cafe,39.9681719,32.8795654
Funda Cafe,39.8559792,32.6458714
Cafe Botanica,39.9046431,32.8622922
Sardunya,39.9066245,32.8621259
Starbucks,39.9220075,32.8260541
İkbal's Kafe,39.5840509,32.1406054
Midas Kafe,39.5842985,32.1420828
İstasyon Cafe,39.5848938,32.1412084
Cesa Cigkofte,39.5845217,32.1428043
Sofa Cafe & Restaurant,39.8642605,32.749174
Cafe In,39.8699384,32.7505929
Asmalı Konak,39.8724313,32.7507457
Coffee Break,39.8704448,32.7496624
Mozart Cafe,39.8688679,32.7481628
Cafe Alis,39.8670611,32.749868
Fiero Cafe,39.8680811,32.7496064
Express Cafe,39.8684651,32.7502193
Coffee Break,39.8694327,32.749943
Express Cafe,39.8661914,32.7492584
5 Çayı Unlu Mamüller,39.8951919,32.8546233
Starbucks,39.8833103,32.7613394
Maviş Pastanesi,39.9337501,32.9089778
Liva,39.8932483,32.7023077
Starbucks,39.8976391,32.7742079
Köprü Kafe,39.9280921,32.8745353
Genç Limos Cafe,39.9668568,32.7144399
Aslı Börek,39.9012561,32.8534632
Park Ehlikeyf,39.8701801,32.6822155
Mado,39.9704682,32.7144408
Starbucks,39.9702242,32.7155224
Big Oven,39.9868795,32.8027203
Gönül Kahvesi,39.9725411,32.8250696
Kıtır Kafe,39.9725682,32.8255261
Dolunay pastane,39.9949913,32.82123
Seval,39.9896817,32.8005358
Şampion Döner,39.991251,32.7997915
Kuğulu Park Restaurant & Cafe,39.9019935,32.8596967
Palais,39.9262002,32.818306
Lizbon Cafe,39.9338919,32.8229252
Ada pastane,39.9835199,32.8159894
Mado,39.9723461,32.8402251
Burma Kadayıf,39.9950195,32.8103364
Starbucks,39.8707727,32.6874632
Kraz Cafe,39.8716939,32.6883958
Klas Pastanesi,39.8996671,32.8758285
Bulka,39.8967169,32.7047711
Kocatepe Kahve Evi,39.9294518,32.871834
Lidya Cafe,39.9749035,32.8049868
Bolulu Hasan Usta,39.8706148,32.8601758
Mado,39.8726055,32.8613587
Starbucks,39.8752217,32.8636197
Palet Pastanesi,39.897755,32.871463
Kafes Fırın,39.8980776,32.8710662
London Pub,39.9075654,32.8584993
Pilita Pastaevi,39.9335667,32.8363931
Denizatı,39.8246839,32.7167126
Gümüş Pastanesi,39.9341345,32.8341472
Pakalın Pastanesi,39.9720028,32.8875514
Victoria ,39.98399,32.8540601
Karma mutfak,39.9269866,32.8545539
CafeMount,39.9001605,32.7738507
Hicaz pastanesi,39.9280117,32.8545224
Cafe Alis,39.8728708,32.7633101
Mozart Cafe,39.8695452,32.7550274
Mozart Cafe,39.871365,32.7641845
Yeni Cafe,39.8721421,32.764045
Hayat Cafe,39.9024782,32.8726657
CafeModern,39.9317639,32.8493139
Dolunay Cafe,39.9190737,32.828572
Coffee Lab,39.9194687,32.8273582
Starbucks,39.8491484,32.8350442
Gusto,39.8639057,32.8556995
1994 Cafe Colors,39.8483247,32.8394883
Alnıaçıklar Restaurant & Cafe,39.963993,32.5817854
Sadık Usta,39.9041038,32.8715425
art garden,39.933729,32.9001221
Demlik,39.8498378,32.8354116
Starbucks,39.8473817,32.8563865
Balcon,39.9088948,32.8588287
Abbas Waffle,39.9058723,32.8600591
Leman Kültür,39.9070698,32.8598097
Starbucks,39.903322,32.8604558
Cafe Rosso,39.90815,32.8614807
Elizinn,39.9067795,32.8612594
The House Cafe,39.8974874,32.8673682
AşkUn Patisserie,39.8245396,32.7176762
Bolulu Hasan Usta,39.921268,32.8555163
Tattaze Sakarya,39.921995,32.8564612
Colambia Coffee,39.9236128,32.8255508
Coffee 101,39.8926327,32.7884385
Teras Cafe,39.8926245,32.788149
Coffee Break,39.8918125,32.7888813
Mado,39.8915495,32.8733844
Kahve Dünyası,39.8941887,32.877169
Cafe Bıyık,39.8962178,32.8796768
May,39.872799,32.8600001
Simit Tuna Cafe,39.8725705,32.8601852
Meşhur Van Kahvaltısı,39.8709926,32.8589487
Simitcii,39.8680694,32.8569853
