isim,lat,lon
Büyükşehir Genç Akademi Kafe Sıhhıye,39.927634593263186, 32.86003007685546
Büyükşehir Genç Akademi Ulus,39.9408451265332, 32.85156458255502
Büyükşehir Genç Akademi Kafe-Kütüphane, 39.92721806651629, 32.86049096526524
Büyükşehir Genç Akademi Bahçelievler, 39.919043305220754, 32.82932108365035
TODO Croissant & Coffee Saraçoğlu,39.91882324805936, 32.8490422304518
Kahve Dünyası - Ankara Saraçoğlu,39.919207580462604, 32.84931572711945
Super Spice Coffee,39.919399745858016, 32.84953805345358
Microlot,39.919987064927724, 32.849005176089335
Simple Chocolate & Breakfast Saraçoğlu,39.91955537237296, 32.84820585998609
Coffee de Madrid Saraçoğlu,39.919339931577106, 32.84807190103786
Straborn Coffee Saraçoğlu,39.91925376865804, 32.84795597813971
Colombia Coffee,39.91852192415048, 32.84882560055881
Lavoni Cafe & Kitchen Saraçoğlu,39.91819142888358, 32.84859474611032
Renkli Bahçe Kafe,39.92077029198558, 32.849743708700665
Coffee LAB Saraçoğlu,39.92050934790018, 32.84893192635826

