isim,lat,lon
THE COFFEE LAW (Maltepe),39.9303667,32.8448319
Port Heaven,39.9294421,32.8461489
Verte Coffee House,39.9224919,32.8502069
Brand Coffee House,39.92563,32.841854
coffeeHUB,39.9238352,32.8456887
Gramofon Kafe(Gramofoncu Ali),39.9363685,32.8638484
Amelie's Garden,39.900267,32.857639
Turca Burger Pizza Coffee,39.9276237,32.851326
Cafe Botanica,39.904672,32.8622383
Cafe des Cafes,39.906597,32.8611485
OFF Cafe,39.924281,32.863103
TOXİC ARENA İNTERNET CAFE,39.9289,32.846443
ROR Cafe & Roastery,39.9221001,32.8255763
Pucca Cafe,39.9216489,32.8549388
Lagetom Coffee,39.931801,32.827222
Ati Kahve,39.926173,32.841688
V COFFEE ANKARA,39.9216554,32.8604748
Quzine Cafe Bistro,39.9362096,32.8634008
Black Fish Cafe · Visited link,39.9167558,32.8586809
Art cafe,39.9203421,32.8569846
Museum Cafe Bistro,39.939298,32.8641825
Aylak Teras,39.9146826,32.8571304
Cafe Down,39.92307,32.8539582
Orta Dunya Cafe · Visited link,39.9180701,32.8586405
Art Street Cafe,39.917204,32.8551929
Piranha Cafe,39.931583,32.824071
Cafe ÇalÇene,39.9223167,32.8549467
Dantel Cafe,39.936248,32.8648811
Cafe Hoşbeş,39.92235,32.854925
Faust Coffee & Antique Shop,39.921229,32.823164
Demirtepe Bilardo Cafe,39.924268,32.848901
Arka mahalle &cafebar,39.9215587,32.8553596
Tekne Kitap & Kahve,39.9239453,32.8587692
Kirit Cafe,39.9370403,32.8638628
Aylak Madam,39.9136635,32.8558156
ZULA CAFE,39.9225342,32.831488
Rispetto Coffee Co.,39.923023,32.8252
Varuna Gezgin Cafe - Ankara - Tunalı,39.9039029,32.8622411
Hangimiz Sevmedik Cafe,39.9374963,32.8643909
Emirgan Çay Bahçesi,39.9257145,32.8472969
Kakule Kahve,39.9149389,32.8578139
Kim7 Cafe fastfood,39.9267475,32.851772
CafeModern,39.9317584,32.8494216
Hypatia Kütüphane Cafe,39.917968,32.8591181
Yeşilçam Turquoise Garden,39.9319198,32.8668738
Mackbear Coffee Co. (Ankara / 69. Sokak),39.919403,32.829582
Budabi Cafe,39.9238112,32.8630246
Cafe Piedra · Visited link,39.9163062,32.8584295
Hogwarts Express Cafe,39.9244777,32.8249968
KANTA Coffee Shop,39.9215742,32.8258446
ANTEP DÜRÜM EVİ MALTEPE ANKARA,39.9257438,32.8473277
Hülyam CAFE,39.9227166,32.8547687
Lugat Kitap Kahve,39.9345173,32.8716103
Nobia Coffee Shop,39.9333413,32.8659031
Cafemiz,39.8978047,32.865709
Prod Coffee & Roastery,39.9281364,32.824486
Madam Rita Cafe,39.919104,32.8584671
Koliba Cafe,39.9164657,32.8553975
CaffeNux,39.897418,32.855446
Pangea Coffee House,39.8967007,32.8550438
Patika Kitap Cafe,39.9183897,32.8563555
Tabi Yaa Cafe,39.9326984,32.8666715
Savoy Bistro & Cafe,39.918724,32.856018
Borges Cafe,39.9371523,32.8638045
BIG TREE CAFE & LOUNGE,39.9182258,32.8308338
6. His Fal Cafe - Ankara Tarot Falı Kahve Falı Ankara Kızılay Falcı,39.9187664,32.8547009
Varuna Gezgin Cafe,39.9216227,32.8288713
Blue Horse Café,39.9308345,32.8306678
Leyla Coffee - Ankara Gurme Kahve Evi,39.914534,32.857211
Çatı Cafe,39.921608,32.8549472
Kurşunasker Cafe,39.9385467,32.8645603
Bolivar coffee shop,39.9188772,32.8562566
And Cafe,39.9389652,32.8645627
La Vita é Bella Cafe,39.9222739,32.8266166
Su Cafe,39.9192788,32.8561372
Vitalen Cafe & Kahvaltı,39.935918,32.871745
Drupe Coffee & Stuff,39.92863,32.825297
Cafe September,39.9196701,32.856308
Ciragan Cafe,39.915521,32.8568255
Tömbeki Cafe Pub,39.916405,32.857921
STRAZBURG HOTEL & CAFE,39.927373,32.8497083
ŞELALE CAFE,39.922849,32.8582165
Bosco e caffè tiramisù,39.9285088,32.8195775
Coffee Code Roasters,39.9005402,32.8577416
Meram Game Center & İnternet Cafe & PlayStation,39.922771,32.857233
Cilveli Cafe,39.919915,32.855352
LaCapra Coffee & Shop,39.9101786,32.8191283
Grano coffee & sandwiches,39.91728,32.816649
The Owl Cafe,39.9187949,32.8560271
Atlas Antik Cafe,39.9373854,32.8639557
Kızılay Angel İnternet Cafe,39.9204928,32.8564097
Sır Cafe,39.9310351,32.8295064
Çengel Kafe,39.9219428,32.8560496
Sefa Cafe & Bistro,39.9219581,32.8437492
KAFES FIRIN,39.9093429,32.7900443
Cafe Mekan,39.9217862,32.815042
bonapple,39.9084927,32.8595377
Fabregas Cafe&Restaurant,39.907186,32.811925
Chatlak Game Center & İnternet Cafe & Playstation,39.923442,32.850152
Gümüş Pasta Cafe Bistro - Maltepe Şubesi,39.932472,32.842975
Karanfil Cafe,39.9201373,32.8552677
Bi'dilim Cafe,39.931931,32.8288355
Telwe Bar,39.922436,32.855717
Globica Coffee Shop,39.8924232,32.8748048
ANKA GAME CENTER & INTERNET CAFE,39.922002,32.857303
Ayaküstü Kahve,39.9110331,32.8202132
Ezgi Cafe,39.9183388,32.8560031
Faralya Cafe,39.9323101,32.8667135
NAİF KİTABEVİ CAFE,39.9191244,32.8557324
Donkişot Cafe,39.9187691,32.8562436
On A On Rock Cafe,39.9187354,32.8559693
Padam Coffee Shop,39.9026193,32.8598442



