isim,lat,lon
Express Cafe,39.8684651,32.7502193
Köprü Kafe,39.9280921,32.8745353
Genç Limos Cafe,39.9668568,32.7144399
Kocatepe Kahve Evi,39.9294518,32.871834
Denizatı,39.8246839,32.7167126
Balcon,39.9088948,32.8588287
Teras Cafe,39.8926245,32.788149
May,39.872799,32.8600001
ROR caffee and roestery,39.922096,32.8254192
Butik's,39.842663,32.5452097
Amelie's Garden Succulent & Cofee,39.900313,32.8575571
Starbucks,39.9229858,32.8554666
seda nakare,39.9167921,32.8556256
Starbucks,39.9750654,32.8842572
3 Cores Roastery Coffee Shop,39.9267296,32.8517242
Sugar Kafe,39.8838868,32.8175809
Arabica,39.9070912,32.8602278
Demirel Kıraathanesi,39.9680966,32.785899
Café Prag Coffee & Dessert,39.9653719,32.6075363
