isim,lat,lon
OFF Cafe,39.924281,32.863103
Gramofon Kafe(Gramofoncu Ali),39.9363685,32.8638484
Verte Coffee House,39.9224919,32.8502069
Amelie's Garden,39.900267,32.857639
V COFFEE ANKARA,39.9216554,32.8604748
Cafe Botanica,39.904672,32.8622383
Joseph'n Cafe,39.9268913,32.8683033
Cafe des Cafes,39.906597,32.8611485
Budabi Cafe,39.9238112,32.8630246
Pucca Cafe,39.9216489,32.8549388
Quzine Cafe Bistro,39.9362096,32.8634008
OAK Coffee Co.,39.902186,32.850507
Kirit Cafe,39.9370403,32.8638628
ROR Cafe & Roastery,39.9221001,32.8255763
Art cafe,39.9203421,32.8569846
Black Fish Cafe · Visited link,39.9167558,32.8586809
Yeşilçam Turquoise Garden,39.9319198,32.8668738
Lagetom Coffee,39.931801,32.827222
Tekne Kitap & Kahve,39.9239453,32.8587692
Ade Miel Coffee Shop,39.9181141,32.8585015
Vitalen Cafe & Kahvaltı,39.935918,32.871745
Fabregas Cafe&Restaurant,39.907186,32.811925
Dantel Cafe,39.936248,32.8648811
Aylak Teras,39.9146826,32.8571304
Museum Cafe Bistro,39.939298,32.8641825
Sesamos Cafe Bistro,39.9284188,32.871081
Orta Dunya Cafe · Visited link,39.9180701,32.8586405
mekan cafe,39.9222305,32.853759
Art Street Cafe,39.917204,32.8551929
Lugat Kitap Kahve,39.9345173,32.8716103
Faralya Cafe,39.9323101,32.8667135
Çınar Saklıbahçe,39.931949,32.8665286
Vice cafe,39.9327385,32.8665198
Hangimiz Sevmedik Cafe,39.9374963,32.8643909
Cafe ÇalÇene,39.9223167,32.8549467
Aylak Madam,39.9136635,32.8558156
Varuna Gezgin Cafe - Ankara - Tunalı,39.9039029,32.8622411
Hypatia Kütüphane Cafe,39.917968,32.8591181
Göksu Restoran - Nenehatun,39.904581,32.867762
Kakule Kahve,39.9149389,32.8578139
Arka mahalle &cafebar,39.9215587,32.8553596
Cafe Hoşbeş,39.92235,32.854925
Cafe Down,39.92307,32.8539582
Geyik Kafe,39.9305072,32.8638077
Madam Rita Cafe,39.919104,32.8584671
Cafe Piedra · Visited link,39.9163062,32.8584295
Borges Cafe,39.9371523,32.8638045
Filiz Kültür Kafe,39.922002,32.857303
ŞELALE CAFE,39.922849,32.8582165
Cafemiz,39.8978047,32.865709
Piranha Cafe,39.931583,32.824071
Faust Coffee & Antique Shop,39.921229,32.823164
Nar Cafe,39.925668,32.859449
Pangea Coffee House,39.8967007,32.8550438
CaffeNux,39.897418,32.855446
ROR Cafe Tunalı,39.9059587,32.8622887
Patika Kitap Cafe,39.9183897,32.8563555
